date,gross_return,transaction_cost,net_return,turnover,cumulative_gross,cumulative_net,drawdown
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-31,0.0050642731850324,0.0005,0.0045642731850324,1.0,0.005064273185032331,0.004564273185032386,0.0
2018-02-01,-0.0025974483298622,0.0,-0.0025974483298622,0.0,0.002453670667243779,0.001954969391408712,-0.0025974483298621953
2018-02-02,-0.0044772116310428,0.0,-0.0044772116310428,0.0,-0.002034526566649153,-0.002530995051331586,-0.007063030635031442
2018-02-05,-0.0056210007673675,0.0,-0.0056210007673675,0.0,-0.007644091258624308,-0.008137769093573333,-0.012644330101779455
2018-02-06,0.0046860745027883,0.0,0.0046860745027883,0.0,-0.002993837536980015,-0.0034898287830439356,-0.008017507871885932
2018-02-07,-0.0019808190014316,0.0,-0.0019808190014316,0.0,-0.0049687262881312755,-0.005463735065310393,-0.009982445641380733
2018-02-08,0.0007173316666867,0.0,0.0007173316666867,0.0,-0.004254958846154233,-0.004750322708804489,-0.009272274699063665
2018-02-09,0.0007963977269592,0.0,0.0007963977269592,0.0,-0.0034619497587484727,-0.003957708128052961,-0.008483261390598629
2018-02-12,-0.0013454895113659,0.0,-0.0013454895113659,0.0,-0.004802781253025135,-0.005297872584643537,-0.009817336762741324
2018-02-13,-0.0023743681776483,0.0,-0.0023743681776483,0.0,-0.007165745859701977,-0.007659661662217543,-0.012168394968390839
2018-02-14,-0.0009628189639533,0.0,-0.0009628189639533,0.0,-0.0081216655076507,-0.008615105758664976,-0.013119497970907612
2018-02-15,-0.0042588522558357,0.0,-0.0042588522558357,0.0,-0.012345928790017946,-0.012837267551906062,-0.017322476223214478
2018-02-16,-0.0002828044699778,0.0,-0.0002828044699778,0.0,-0.012625241776147877,-0.013116441585237837,-0.0176003818194852
2018-02-20,0.0020862465211387,0.0,0.0020862465211387,0.0,-0.01056533462174325,-0.011057559194726063,-0.015550854033688166
2018-02-21,0.0004017297714593,0.0,0.0004017297714593,0.0,-0.010167849259746897,-0.01066027157399485,-0.015155371503265624
2018-02-22,0.0009311768143562,0.0,0.0009311768143562,0.0,-0.009246140510873135,-0.009739021357363042,-0.014238307019466268
2018-02-23,0.0005560250920721,0.0,0.0005560250920721,0.0,-0.00869525650492986,-0.009188411405537722,-0.013690198783365415
2018-02-26,-0.0017859005757799,0.0,-0.0017859005757799,0.0,-0.010465628217111056,-0.010957902392097929,-0.015451650025255503
2018-02-27,-0.0039824742658137,0.0,-0.0039824742658137,0.0,-0.014406423387874456,-0.01489673709362771,-0.019372588492479248
2018-02-28,0.003852546345151,0.0,0.003852546345151,0.0,-0.010609378456493013,-0.011101581118521331,-0.01559467594232089
2018-03-01,0.0037275723787346,0.0003125,0.0034150723787346,0.625,-0.006921353303848354,-0.007724421442824925,-0.01223286051065231
2018-03-02,-0.0006478129421548,0.0,-0.0006478129421548,0.0,-0.0075646825037556376,-0.008367230404798365,-0.012872748847448712
2018-03-05,0.0033688257005972,0.0,0.0033688257005972,0.0,-0.004221340899993931,-0.0050265924450315635,-0.009547289194006048
2018-03-06,-0.0020574377726381,0.0,-0.0020574377726381,0.0,-0.006270093526413167,-0.007073688316505566,-0.011585084013229996
2018-03-07,-0.0010656455102751,0.0,-0.0010656455102751,0.0,-0.007329057339672818,-0.00813179578258505,-0.012638383930740238
2018-03-08,-0.0015841491082448,0.0,-0.0015841491082448,0.0,-0.008901596128268685,-0.009703062913792415,-0.014202511954351404
2018-03-09,-0.0038934367144703,0.0,-0.0038934367144703,0.0,-0.012760375041555805,-0.013558721366871307,-0.018040652087340958
2018-03-12,-0.0001401704041702,0.0,-0.0001401704041702,0.0,-0.01289875681879915,-0.013696991239587564,-0.018178293726016648
2018-03-13,0.0007964072728496,0.0,0.0007964072728496,0.0,-0.012112622209690671,-0.01291149235017719,-0.01739636377849829
2018-03-14,0.0011994573734772,0.0,0.0011994573734772,0.0,-0.010927693410234918,-0.011727521761401904,-0.016217772601826774
2018-03-15,-0.0023145240825019,0.0,-0.0023145240825019,0.0,-0.013216925083172626,-0.014014902212358904,-0.018494760259077148
2018-03-16,0.0010176803056191,0.0,0.0010176803056191,0.0,-0.012212695381911609,-0.013011484596706646,-0.017495901706730987
2018-03-19,-0.0064096485247177,0.0,-0.0064096485247177,0.0,-0.018544064821691797,-0.01933773407837469,-0.023793407650885556
2018-03-20,-0.0030543068771249,0.0,-0.0030543068771249,0.0,-0.021541732434101957,-0.022332977581316027,-0.026775042159392193
2018-03-21,0.0021112989133386,0.0,0.0021112989133386,0.0,-0.019475914557043006,-0.020268830259276616,-0.02472027336346949
2018-03-22,0.000836300164477,0.0,0.000836300164477,0.0,-0.018655902103113298,-0.01944948092087906,-0.023904646767672122
2018-03-23,0.0031673561166689,0.0,0.0031673561166689,0.0,-0.015547635872082632,-0.01634372823657093,-0.020813005180159605
2018-03-26,-0.0084720974193998,0.0,-0.0084720974193998,0.0,-0.023888012205732778,-0.024677359998154347,-0.029108772792082682
2018-03-27,0.0064860196834793,0.0,0.0064860196834793,0.0,-0.01755693063961905,-0.018351398157359422,-0.02281155318189476
2018-03-28,0.0016498117915175,0.0,0.0016498117915175,0.0,-0.015936084479293622,-0.016731862718912693,-0.0211993761597995
2018-03-29,0.0024582674364292,0.0,0.0024582674364292,0.0,-0.013516992200403921,-0.014314726675756062,-0.01879322245945636
2018-04-02,-0.0007271061704349,0.0,-0.0007271061704349,0.0,-0.014234270082404188,-0.015031424520096981,-0.019506663961878723
2018-04-03,-0.0016462922548872,0.0,-0.0016462922548872,0.0,-0.015857128568700807,-0.016652970657216826,-0.021120842546966778
2018-04-04,-0.0020660264180614,0.0,-0.0020660264180614,0.0,-0.01789039374022472,-0.01868459159796121,-0.023143232746354436
2018-04-05,0.0040726985763072,0.0,0.0040726985763072,0.0,-0.013890557345032972,-0.014687989731253959,-0.01916478958110457
2018-04-06,0.0002935655300156,0.0,0.0002935655300156,0.0,-0.01360106960384655,-0.014398736088728659,-0.01887685017269991
2018-04-09,-0.0038687579954565,0.0,-0.0038687579954565,0.0,-0.01741720835252636,-0.018211788858817468,-0.02267257820312174
2018-04-10,0.0031257054694805,0.0,0.0031257054694805,0.0,-0.014345943946456496,-0.015143008077382114,-0.019617740535338157
2018-04-11,-0.0009424218737959,0.0,-0.0009424218737959,0.0,-0.015274845888876953,-0.016071158849130796,-0.020541674221339012
2018-04-12,-0.0001713807216865,0.0,-0.0001713807216865,0.0,-0.015443608796451458,-0.016239785284015484,-0.020709534496072934
2018-04-13,0.0018176890075157,0.0,0.0018176890075157,0.0,-0.01365399146688151,-0.014451615155695041,-0.01892948898176161
2018-04-16,0.0004412472302466,0.0,0.0004412472302466,0.0,-0.01321876902255148,-0.014016744660608427,-0.018496594336098182
2018-04-17,0.00305057744038,0.0,0.00305057744038,0.0,-0.01020851646074128,-0.011008926385277729,-0.015502442189123777
2018-04-18,0.0031640779592942,0.0,0.0031640779592942,0.0,-0.007076739043377467,-0.007879681527314553,-0.012387415165475257
2018-04-19,0.0098496874954031,0.0,0.0098496874954031,0.0,0.002703244783961889,0.0018923935674810544,-0.0026597398383281234
2018-04-20,-0.0020124776161867,0.0,-0.0020124776161867,0.0,0.0006853269481563729,-0.0001238924484012749,-0.004666864787625347
2018-04-23,0.0017305782412942,0.0,0.0017305782412942,0.0,0.002417091201355248,0.0016064713873173986,-0.002944362920987764
2018-04-24,0.0055628074871942,0.0,0.0055628074871942,0.0,0.007993344501581623,0.00717821536557306,0.0
2018-04-25,0.0044097468665336,0.0,0.0044097468665336,0.0,0.012438339993984249,0.011619616344822337,0.0
2018-04-26,0.0035893399252766,0.0,0.0035893399252766,0.0,0.016072325349605565,0.015250663022961852,0.0
2018-04-27,-0.0032529797322314,0.0,-0.0032529797322314,0.0,0.012767062668762152,0.01194807319301372,-0.003252979732231376
2018-04-30,-0.0039247511857692,0.0,-0.0039247511857692,0.0,0.008792203938644993,0.007976428792812573,-0.007164963781939204
