security_id,ticker,company_name,exchange,asset_type,country,currency,sector,industry,market_cap,price,adv_20d,adv_60d,ipo_date,delisting_date,is_active,is_common_stock,is_adr,is_etf,is_reit,is_preferred,is_warrant,is_unit,is_closed_end_fund,is_spac_shell,data_source,last_updated
CURRENT_LISTED:A,A,"Agilent Technologies, Inc. Common Stock",NYSE,COMMON_STOCK,US,USD,Healthcare,Diagnostics & Research,35973357483.0025,127.28500366210938,352299576.30737305,268812822.9413986,,,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:AA,AA,Alcoa Corporation Common Stock,NYSE,COMMON_STOCK,US,USD,Basic Materials,Aluminum,14506026750.881195,54.974998474121094,359791902.34972686,340218280.2646469,,,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",NYSE,COMMON_STOCK,US,USD,Industrials,Aerospace & Defense,,18.200000762939453,59932044.33322252,59932044.33322252,,,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:AAL,AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,COMMON_STOCK,US,USD,Industrials,Airlines,10793739636.41536,16.311500549316406,1635217136.524098,1011815379.4913762,nan,nan,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:AAME,AAME,Atlantic American Corporation - Common Stock,NASDAQ,COMMON_STOCK,US,USD,Financial Services,Insurance - Life,37224942.07261562,1.825000047683716,34631.10615700483,28223.38523854812,nan,nan,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:AAMI,AAMI,Acadian Asset Management Inc. Common Stock,NYSE,COMMON_STOCK,US,USD,Financial Services,Asset Management,2600738076.917938,72.80000305175781,41661757.13864593,29793242.170051828,,,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:AAOI,AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,COMMON_STOCK,US,USD,Technology,Communication Equipment,12276974382.771149,152.6999969482422,2457536010.1046143,2045089438.910642,nan,nan,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:AAON,AAON,"AAON, Inc. - Common Stock",NASDAQ,COMMON_STOCK,US,USD,Industrials,Building Products & Equipment,10708317498.33542,130.47999572753906,131220557.15472946,127541336.61139092,nan,nan,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:AAPL,AAPL,Apple Inc. - Common Stock,NASDAQ,COMMON_STOCK,US,USD,Technology,Consumer Electronics,4387700588008.789,298.739990234375,15565232767.15797,13504469596.574402,nan,nan,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:AARD,AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,COMMON_STOCK,US,USD,Healthcare,Biotechnology,93592290.81777096,4.289999961853027,520289.1911279202,760427.0181886037,nan,nan,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:AAT,AAT,"American Assets Trust, Inc. Common Stock",NYSE,COMMON_STOCK,US,USD,Real Estate,REIT - Diversified,1500394508.626297,24.440000534057617,11524347.952373218,8364223.333653673,,,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:AAUC,AAUC,Allied Gold Corporation Common Shares,NYSE,COMMON_STOCK,US,USD,Basic Materials,Gold,3129407429.771805,24.860000610351562,13520970.946626663,20151068.907346725,,,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:ABAT,ABAT,American Battery Technology Company - Common Stock,NASDAQ,COMMON_STOCK,US,USD,Industrials,Waste Management,396965941.8985426,2.9100000858306885,35145827.31866509,21034250.41008244,nan,nan,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:ABBV,ABBV,AbbVie Inc. Common Stock,NYSE,COMMON_STOCK,US,USD,Healthcare,Drug Manufacturers - General,414957805609.4478,234.85000610351562,1250046678.0725784,1295327904.7435482,,,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:ABCB,ABCB,Ameris Bancorp Common Stock,NYSE,COMMON_STOCK,US,USD,Financial Services,Banks - Regional,5922076541.69062,87.91999816894531,45209327.3648262,41949222.12327957,,,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:ABCL,ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,COMMON_STOCK,US,USD,Healthcare,Biotechnology,1772704103.9438396,5.800000190734863,36166251.5105011,32265250.707849327,nan,nan,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:ABEO,ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,COMMON_STOCK,US,USD,Healthcare,Biotechnology,329146962.0354805,5.769999980926514,5326700.327425862,5724616.880327352,nan,nan,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:ABG,ABG,Asbury Automotive Group Inc Common Stock,NYSE,COMMON_STOCK,US,USD,Consumer Cyclical,Auto & Truck Dealerships,3685777773.0041504,197.9600067138672,45236875.980725095,51410273.890674844,,,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:ABLV,ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,COMMON_STOCK,US,USD,Consumer Cyclical,Specialty Retail,54575864.752038,1.1050000190734863,114265.40864801408,329746.9690922101,nan,nan,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:ABM,ABM,ABM Industries Incorporated Common Stock,NYSE,COMMON_STOCK,US,USD,Industrials,Specialty Business Services,2612709076.4126053,44.564998626708984,31822878.02579727,22191090.95008799,,,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:ABNB,ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,COMMON_STOCK,US,USD,Consumer Cyclical,Travel Services,82646158234.73422,139.3249969482422,510725656.17930377,501712181.1730924,nan,nan,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:ABOS,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,COMMON_STOCK,US,USD,Healthcare,Biotechnology,171901648.66579056,2.365000009536743,861051.957882142,937927.9197885912,nan,nan,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:ABR,ABR,Arbor Realty Trust Common Stock,NYSE,COMMON_STOCK,US,USD,Real Estate,REIT - Mortgage,982003944.9839988,5.105000019073486,22035281.841513135,25344431.304363083,,,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:ABSI,ABSI,Absci Corporation - Common Stock,NASDAQ,COMMON_STOCK,US,USD,Healthcare,Biotechnology,1229311402.2438354,7.869999885559082,37012313.68152972,26058794.94862674,nan,nan,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:ABT,ABT,Abbott Laboratories Common Stock,NYSE,COMMON_STOCK,US,USD,Healthcare,Medical Devices,157851817081.25,90.58999633789062,1207771181.3244889,1168875164.2896485,,,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
CURRENT_LISTED:ABTC,ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,COMMON_STOCK,US,USD,Financial Services,Capital Markets,853812213.1496251,0.803600013256073,11195721.221829614,14896509.317650683,nan,nan,True,True,False,False,False,False,False,False,False,False,YFINANCE_PUBLIC_FALLBACK,2026-06-23
